,,B,301,M,832,T,282,Total,1415,,Target,1464,gap,49
B,1984,,,,,,,,,,,,,
B,A Clockwork Orange,,,,,,,,,,,,,
B,A Farewell to Arms,,,,,,,,,,,,,
B,A Midsummer Night's Dream,,,,,,,,,,,,,
B,A Passage to India,,,,,,,,,,,,,
B,A Room with a View,,,,,,,,,,,,,
B,A Study in Scarlet,,,,,,,,,,,,,
B,A Tale of Two Cities,,,,,,,,,,,,,
B,A Time to Kill,,,,,,,,,,,,,
B,Agnes Grey,,,,,,,,,,,,,
B,Alice in Wonderland,,,,,,,,,,,,,
B,All Quiet on the Western Front,,,,,,,,,,,,,
B,All's Well That Ends Well,,,,,,,,,,,,,
B,Along Came a Spider,,,,,,,,,,,,,
B,And Then There Were None,,,,,,,,,,,,,
B,Angels & Demons,Angels and Demons,,,,,,,,,,,,
B,Animal Farm,,,,,,,,,,,,,
B,Anna Karenina,,,,,,,,,,,,,
B,Anne of Green Gables,,,,,,,,,,,,,
B,Antony and Cleopatra,,,,,,,,,,,,,
B,Around the World in Eighty Days,,,,,,,,,,,,,
B,As You Like It,,,,,,,,,,,,,
B,Atonement,,,,,,,,,,,,,
B,Beowulf,,,,,,,,,,,,,
B,Black Beauty,,,,,,,,,,,,,
B,Bleak House,,,,,,,,,,,,,
B,Brave New World,,,,,,,,,,,,,
B,Cat on a Hot Tin Roof,,,,,,,,,,,,,
B,Catch-22,,,,,,,,,,,,,
B,Clear and Present Danger,,,,,,,,,,,,,
B,Confessions of a Shopaholic,Shopaholic,,,,,,,,,,,,
B,Coriolanus,,,,,,,,,,,,,
B,Cyrano de Bergerac,,,,,,,,,,,,,
B,David Copperfield,,,,,,,,,,,,,
B,Death of a Salesman,,,,,,,,,,,,,
B,Death on the Nile,,,,,,,,,,,,,
B,Diary of a Wimpy Kid,,,,,,,,,,,,,
B,Don Quixote,,,,,,,,,,,,,
B,Dr. Jekyll and Mr. Hyde,Jekyll and Hyde,,,,,,,,,,,,
B,Dubliners,,,,,,,,,,,,,
B,East of Eden,,,,,,,,,,,,,
B,Emma,,,,,,,,,,,,,
B,Fahrenheit 451,,,,,,,,,,,,,
B,Fantastic Mr Fox,,,,,,,,,,,,,
B,Far from the Madding Crowd,,,,,,,,,,,,,
B,First Among Equals,,,,,,,,,,,,,
B,For Whom the Bell Tolls,,,,,,,,,,,,,
B,Good Omens,,,,,,,,,,,,,
B,Green Eggs and Ham,,,,,,,,,,,,,
B,Gulliver's Travels,,,,,,,,,,,,,
B,Hamlet,,,,,,,,,,,,,
B,Hard Times,,,,,,,,,,,,,
B,Harry Potter and the Philosopher's Stone,Harry Potter,,,,,,,,,,,,
B,Heidi,,,,,,,,,,,,,
B,Henry V,,,,,,,,,,,,,
B,His Dark Materials,,,,,,,,,,,,,
B,Horrid Henry,,,,,,,,,,,,,
B,Inferno,,,,,,,,,,,,,
B,Interview with the Vampire,,,,,,,,,,,,,
B,"Danny, the Champion of the World",,,,,,,,,,,,,
