Set,Slot,Tier,Category,Title,Alternates,Reject (X)
1,1,Easy,Movie,Beauty and the Beast,,
1,2,Medium,Movie,The Princess Bride,,
1,3,Hard,Movie,Citizen Kane,,
1,4,Hardest,Book,Ulysses,,
2,1,Easy,Movie,Cinderella,,
2,2,Medium,Movie,The NeverEnding Story,,
2,3,Hard,Movie,Sunset Boulevard,,
2,4,Hardest,Book,Finnegans Wake,,X
3,1,Easy,Movie,Moana,,
3,2,Medium,Movie,Labyrinth,,
3,3,Hard,Movie,Vertigo,,
3,4,Hardest,Book,A Portrait of the Artist as a Young Man,,X
4,1,Easy,Movie,Tangled,,X
4,2,Medium,Movie,Willow,,X
4,3,Hard,Movie,Rear Window,,
4,4,Hardest,Book,Dubliners,,
5,1,Easy,Movie,The Incredibles,,
5,2,Medium,Movie,Big Fish,,
5,3,Hard,Movie,North by Northwest,,
5,4,Hardest,Book,To the Lighthouse,,
6,1,Easy,Movie,"Monsters, Inc.",Monsters Inc,
6,2,Medium,Movie,Edward Scissorhands,,
6,3,Hard,Movie,The Birds,,
6,4,Hardest,Book,Mrs Dalloway,,X
7,1,Easy,Movie,Up,,
7,2,Medium,Movie,Beetlejuice,,
7,3,Hard,Movie,Rope,,X
7,4,Hardest,Book,Orlando,,X
8,1,Easy,Movie,Coco,,
8,2,Medium,Movie,Corpse Bride,,
8,3,Hard,Movie,Dial M for Murder,,
8,4,Hardest,Book,The Waves,,X
9,1,Easy,Movie,Encanto,,X
9,2,Medium,Movie,The Nightmare Before Christmas,,
9,3,Hard,Movie,Rebecca,,
9,4,Hardest,Book,A Room of One's Own,,X
10,1,Easy,Movie,Zootopia,Zootropolis,
10,2,Medium,Movie,Coraline,,
10,3,Hard,Movie,Gaslight,,
10,4,Hardest,Book,Light in August,,X
11,1,Easy,Movie,Inside Out,,
11,2,Medium,Movie,ParaNorman,,X
11,3,Hard,Movie,Double Indemnity,,X
11,4,Hardest,Book,Gravity's Rainbow,,
12,1,Easy,Movie,Despicable Me,,
12,2,Medium,Movie,Kubo and the Two Strings,,X
12,3,Hard,Movie,The Maltese Falcon,,
12,4,Hardest,Book,Infinite Jest,,X
13,1,Easy,Movie,Madagascar,,
13,2,Medium,Movie,Spirited Away,,
13,3,Hard,Movie,The Big Sleep,,
13,4,Hardest,Book,The Corrections,,X
14,1,Easy,Movie,Kung Fu Panda,,
14,2,Medium,Movie,My Neighbor Totoro,Totoro,X
14,3,Hard,Movie,Chinatown,,
14,4,Hardest,Book,White Noise,,X
15,1,Easy,Movie,How to Train Your Dragon,,
15,2,Medium,Movie,Howl's Moving Castle,,X
15,3,Hard,Movie,L.A. Confidential,,X
15,4,Hardest,Book,Underworld,,X
16,1,Easy,Movie,The Jungle Book,,
16,2,Medium,Movie,Princess Mononoke,,X
16,3,Hard,Movie,Touch of Evil,,X
16,4,Hardest,Book,Blood Meridian,,X
17,1,Easy,Movie,Bambi,,
17,2,Medium,Movie,Ponyo,,X
17,3,Hard,Movie,Some Like It Hot,,
17,4,Hardest,Book,The Road,,
18,1,Easy,Movie,Dumbo,,
18,2,Medium,Movie,Akira,,X
18,3,Hard,Movie,Breakfast at Tiffany's,,
18,4,Hardest,Book,All the Pretty Horses,,
19,1,Easy,Movie,Pinocchio,,
19,2,Medium,Movie,Grave of the Fireflies,,X
19,3,Hard,Movie,Roman Holiday,,
19,4,Hardest,Book,Beloved,,
20,1,Easy,Movie,Sleeping Beauty,,
20,2,Medium,Movie,The Boy and the Heron,,X
20,3,Hard,Movie,My Fair Lady,,
20,4,Hardest,Book,Song of Solomon,,X
21,1,Easy,Movie,101 Dalmatians,One Hundred and One Dalmatians,
21,2,Medium,Movie,Pan's Labyrinth,,
21,3,Hard,Movie,Gone with the Wind,,
21,4,Hardest,Book,The Color Purple,,
22,1,Easy,Movie,Mulan,,
22,2,Medium,Movie,The Shape of Water,,
22,3,Hard,Movie,Lawrence of Arabia,,
22,4,Hardest,Book,Invisible Man,,
23,1,Easy,Movie,Pocahontas,,
23,2,Medium,Movie,Amélie,Amelie,
23,3,Hard,Movie,Doctor Zhivago,,
23,4,Hardest,Book,Native Son,,X
24,1,Easy,Movie,Hercules,,
24,2,Medium,Movie,Life Is Beautiful,,X
24,3,Hard,Movie,The Bridge on the River Kwai,,
24,4,Hardest,Book,Go Tell It on the Mountain,,X
25,1,Easy,Movie,Brave,,
25,2,Medium,Movie,Cinema Paradiso,,X
25,3,Hard,Movie,A Streetcar Named Desire,,
25,4,Hardest,Book,The Bell Jar,,X
26,1,Easy,Movie,Ratatouille,,
26,2,Medium,Movie,Parasite,,
26,3,Hard,Movie,On the Waterfront,,
26,4,Hardest,Book,Slouching Towards Bethlehem,,X
27,1,Easy,Movie,WALL-E,Wall-E,X
27,2,Medium,Movie,Oldboy,,X
27,3,Hard,Movie,Cool Hand Luke,,
27,4,Hardest,Book,The Year of Magical Thinking,,X
28,1,Easy,Movie,Cars,,
28,2,Medium,Movie,"Crouching Tiger, Hidden Dragon",,
28,3,Hard,Movie,The Great Escape,,
28,4,Hardest,Book,A Confederacy of Dunces,,X
29,1,Easy,Movie,Big Hero 6,,
29,2,Medium,Movie,Slumdog Millionaire,,
29,3,Hard,Movie,Bonnie and Clyde,,
29,4,Hardest,Book,Pale Fire,,X
30,1,Easy,Movie,Wreck-It Ralph,,
30,2,Medium,Movie,The Grand Budapest Hotel,,
30,3,Hard,Movie,The Wild Bunch,,
30,4,Hardest,Book,Pnin,,X
31,1,Easy,Movie,Sing,,
31,2,Medium,Movie,Moonrise Kingdom,,
31,3,Hard,Movie,Butch Cassidy and the Sundance Kid,,
31,4,Hardest,Book,The Unbearable Lightness of Being,,
32,1,Easy,Movie,Trolls,,X
32,2,Medium,Movie,Fantastic Mr. Fox,,
32,3,Hard,Movie,The Godfather Part II,Godfather Part 2,X
32,4,Hardest,Book,The Book of Laughter and Forgetting,,X
33,1,Easy,Movie,The Secret Life of Pets,,
33,2,Medium,Movie,Isle of Dogs,,X
33,3,Hard,Movie,The Godfather Part III,Godfather Part 3,X
33,4,Hardest,Book,If on a Winter's Night a Traveler,,X
34,1,Easy,Movie,Finding Dory,,X
34,2,Medium,Movie,The Royal Tenenbaums,,
34,3,Hard,Movie,Taxi Driver,,
34,4,Hardest,Book,Invisible Cities,,X
35,1,Easy,Movie,Toy Story 2,,X
35,2,Medium,Movie,Little Miss Sunshine,,
35,3,Hard,Movie,Raging Bull,,
35,4,Hardest,Book,The Name of the Rose,,
36,1,Easy,Movie,Toy Story 3,,X
36,2,Medium,Movie,Juno,,
36,3,Hard,Movie,Annie Hall,,
36,4,Hardest,Book,Foucault's Pendulum,,X
37,1,Easy,Movie,Toy Story 4,,X
37,2,Medium,Movie,Silver Linings Playbook,,
37,3,Hard,Movie,Manhattan,,
37,4,Hardest,Book,One Hundred Years of Solitude,,
38,1,Easy,Movie,Shrek 2,,X
38,2,Medium,Movie,The Fault in Our Stars,,
38,3,Hard,Movie,The Deer Hunter,,
38,4,Hardest,Book,Love in the Time of Cholera,,X
39,1,Easy,Movie,Ice Age,,
39,2,Medium,Movie,A Star Is Born,,
39,3,Hard,Movie,Kramer vs. Kramer,,
39,4,Hardest,Book,Chronicle of a Death Foretold,,X
40,1,Easy,Movie,Rio,,
40,2,Medium,Movie,Bohemian Rhapsody,,
40,3,Hard,Movie,Ordinary People,,X
40,4,Hardest,Book,The House of the Spirits,,X
41,1,Easy,Movie,The Croods,,
41,2,Medium,Movie,Rocketman,,
41,3,Hard,Movie,Amadeus,,
41,4,Hardest,Book,Like Water for Chocolate,,
42,1,Easy,Movie,Minions,,
