Tier,Category,Title,Alternates,Reject (X)
Easy,Book,Confessions of a Shopaholic,,
Easy,Book,The Da Vinci Code,,
Easy,Book,The Notebook,,
Easy,Book,Murder on the Orient Express,,
Easy,Movie,Captain America: Brave New World,,X
Easy,Movie,Deadpool & Wolverine,,X
Easy,Movie,The Marvels,,X
Easy,Movie,Ant-Man and the Wasp: Quantumania,,X
Easy,Movie,Doctor Strange in the Multiverse of Madness,,X
Easy,Movie,Spider-Man 3,,X
Easy,Movie,Fantastic Four,,
Easy,Movie,Ghost Rider,,
Easy,Movie,Blade,,
Easy,Movie,Hellboy,,
Easy,Movie,The Suicide Squad,,
Easy,Movie,Suicide Squad,,X
Easy,Movie,Birds of Prey,,X
Easy,Movie,Wonder Woman 1984,,X
Easy,Movie,Zack Snyder's Justice League,,X
Easy,Movie,Wish,,X
Easy,Movie,Elio,,X
Easy,Movie,Night at the Museum: Secret of the Tomb,,X
Easy,Movie,Jumanji: The Next Level,,X
Easy,Movie,Zathura: A Space Adventure,,X
Easy,Movie,Cool Runnings,,
Easy,Movie,The Mighty Ducks,,
Easy,Movie,Angels in the Outfield,,X
Easy,Movie,Child's Play,,X
Easy,TV,Chucky,,
Easy,Movie,The Amityville Horror,,X
Easy,Movie,Happy Death Day,,X
Easy,Movie,Fast Five,,
Easy,Movie,Fast & Furious 6,,
Easy,Movie,Furious 7,,
Easy,Movie,The Fate of the Furious,,X
Easy,Movie,F9,,X
Easy,Movie,Fast X,,X
Easy,Movie,Mission: Impossible – Fallout,,X
Easy,Movie,Mission: Impossible – Rogue Nation,,X
Easy,Movie,Mission: Impossible – Ghost Protocol,,X
Easy,Movie,John Wick: Chapter 2,,X
Easy,Movie,John Wick: Chapter 3 – Parabellum,,X
Easy,Movie,John Wick: Chapter 4,,X
Easy,Movie,Casino Royale,,
Easy,Movie,Quantum of Solace,,
Easy,Movie,Spectre,,
Easy,Movie,No Time to Die,,
Easy,Movie,GoldenEye,,
Easy,Movie,Die Another Day,,
Easy,Movie,The Spy Who Loved Me,,
Easy,Movie,Live and Let Die,,
Easy,Movie,Dr. No,,
Easy,Movie,Hitch,,
Easy,Movie,Wedding Crashers,,
Easy,TV,New Girl,,X
Easy,TV,Community,,X
Easy,TV,The Good Place,,X
Easy,TV,Schitt's Creek,,
Easy,TV,Superstore,,X
Easy,TV,Abbott Elementary,,X
Easy,Movie,Despicable Me 2,,X
Easy,Movie,Despicable Me 3,,X
Easy,Movie,Minions: The Rise of Gru,,X
Easy,Movie,Ice Age: The Meltdown,,X
Easy,Movie,Ice Age: Dawn of the Dinosaurs,,X
Easy,Movie,Madagascar: Escape 2 Africa,,X
Easy,Movie,Madagascar 3: Europe's Most Wanted,,X
Easy,Movie,Kung Fu Panda 3,,X
Easy,Movie,Kung Fu Panda 4,,X
Easy,Movie,How to Train Your Dragon 2,,X
Easy,Movie,Zootopia 2,,X
Easy,Movie,The Emperor's New Groove,,X
Easy,Movie,Lilo & Stitch,,
Easy,Movie,Monsters vs. Aliens,,
Easy,Movie,Megamind,,
Easy,Movie,Turbo,,X
Easy,Movie,Home,,X
Easy,Movie,Storks,,X
Easy,Movie,Abominable,,X
Easy,Movie,The Boxtrolls,,X
Easy,Movie,ParaNorman 2,,X
Easy,Movie,Early Man,,X
Easy,Movie,Shaun the Sheep Movie,,X
Easy,Movie,Wallace & Gromit: The Curse of the Were-Rabbit,,X
Easy,Movie,Sherlock Gnomes,,X
Easy,Movie,Gnomeo & Juliet,,X
Easy,Movie,Smurfs,,X
Easy,Movie,Peter Rabbit 2: The Runaway,,X
Easy,Movie,The Angry Birds Movie,,X
Easy,Book,Mr. Tickle,,
Easy,Book,Mr. Happy,,
Easy,Book,Mr. Bump,,
Easy,Book,Mr. Nosey,,
Easy,Book,Mr. Greedy,,
Easy,Book,Mr. Grumpy,,
Easy,Book,Mr. Small,,
Easy,Book,Mr. Snow,,
Easy,Book,Mr. Strong,,
Easy,Book,Mr. Silly,,
Easy,Book,Mr. Forgetful,,
Easy,Book,Mr. Messy,,
Easy,Book,Mr. Muddle,,
Easy,Book,Mr. Topsy-Turvy,,
Easy,Book,Mr. Worry,,
Easy,Book,Mr. Sneeze,,
Easy,Book,Mr. Perfect,,
Easy,Book,Mr. Impossible,,
Easy,Book,Little Miss Naughty,,
Easy,Book,Little Miss Bossy,,
Easy,Book,Little Miss Chatterbox,,
Easy,Book,Little Miss Helpful,,
Easy,Movie,Aquaman and the Lost Kingdom,,X
Easy,Movie,The Batman 2,,X
Easy,Movie,Venom: Let There Be Carnage,,X
Easy,Movie,Morbius,,X
Easy,Movie,Madame Web,,X
Easy,Movie,Kraven the Hunter,,X
Easy,Movie,Justice League: The Snyder Cut,,X
Easy,TV,Peacemaker,,X
Easy,TV,Titans,,X
Easy,TV,Doom Patrol,,X
Easy,TV,Stargirl,,X
Easy,TV,The Umbrella Academy 2,,X
Easy,TV,Loki,,X
Easy,TV,WandaVision,,X
Easy,TV,Hawkeye,,X
Easy,TV,Moon Knight,,X
